"","unigram","bigram","frequency"
"1","of","the",257810
"2","in","the",245724
"3","for","the",134833
"4","to","the",129985
"5","on","the",126046
"6","to","be",111012
"7","at","the",87489
"8","i","have",77442
"9","and","the",77042
"10","i","was",73692
"11","is","a",72923
"12","and","i",71281
"13","i","am",70282
"14","it","was",70161
"15","in","a",68702
"16","for","a",65605
"17","with","the",65560
"18","it","is",62728
"19","if","you",61062
"20","have","a",58591
"21","going","to",58493
"22","will","be",55681
"23","to","get",53215
"24","is","the",53105
"25","from","the",51977
"26","i","dont",50618
"27","want","to",49142
"28","that","i",48658
"29","of","a",48595
"30","with","a",48260
"31","this","is",47280
"32","one","of",46678
"33","have","to",45762
"34","but","i",45743
"35","to","do",43967
"36","thanks","for",41754
"37","all","the",41175
"38","of","my",39261
"39","as","a",38993
"40","out","of",38804
"41","you","can",38780
"42","you","are",38317
"43","in","my",37868
"44","was","a",37710
"45","when","i",36825
"46","need","to",36728
"47","thank","you",36381
"48","be","a",35553
"49","and","a",34822
"50","that","the",34724
"51","you","have",34516
"52","the","same",34297
"53","on","a",33876
"54","a","great",33096
"55","by","the",32972
"56","a","few",32879
"57","the","first",32458
"58","a","lot",31887
"59","a","little",31144
"60","we","are",31023
"61","have","been",30705
"62","the","best",30615
"63","so","i",29940
"64","do","you",29021
"65","would","be",28707
"66","they","are",28660
"67","had","a",28404
"68","that","is",27959
"69","so","much",27455
"70","on","my",27387
"71","there","is",27242
"72","about","the",27033
"73","like","a",26750
"74","are","you",26250
"75","has","been",25474
"76","is","not",25379
"77","you","know",24416
"78","if","i",24009
"79","we","have",23777
"80","the","world",23533
"81","there","are",23416
"82","all","of",23179
"83","trying","to",23051
"84","as","the",22498
"85","and","then",22408
"86","into","the",22288
"87","back","to",22240
"88","he","was",22058
"89","im","not",21378
"90","its","a",21369
"91","when","you",20726
"92","time","to",20562
"93","what","i",20438
"94","go","to",20381
"95","me","to",19961
"96","lot","of",19860
"97","is","that",19663
"98","with","my",19576
"99","part","of",19565
"100","able","to",19563
"101","some","of",19513
